Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2,CompetitionStartDate,Promo2StartDate,DaysSinceLastPromo2,DaysSinceCompetition,Sales,Promo2Indicator,WeekOfYear,Month
40248,22,6,2015-08-01 00:00:00,1,0,0,0,1,1,1040.0,1,2012-09-01,2012-05-28,31,1064,3243.0,1,31,8
40249,23,6,2015-08-01 00:00:00,1,0,0,0,4,1,4060.0,0,2005-08-01,1900-01-01,42215,3652,4373.0,0,31,8
40250,24,6,2015-08-01 00:00:00,1,0,0,0,1,3,4590.0,1,2000-03-01,2011-10-02,31,5631,6907.0,1,31,8
40251,25,6,2015-08-01 00:00:00,1,0,0,0,3,1,430.0,0,2003-04-01,1900-01-01,42215,4505,8385.0,0,31,8
40252,27,6,2015-08-01 00:00:00,1,0,0,0,1,1,60.0,1,2005-01-01,2011-01-30,31,3864,6928.0,1,31,8
40253,29,6,2015-08-01 00:00:00,1,0,0,0,4,3,2170.0,0,2012-09-01,1900-01-01,42215,1064,6411.0,0,31,8
40254,30,6,2015-08-01 00:00:00,1,0,0,0,1,1,40.0,1,2014-02-01,2014-03-06,61,546,4533.0,1,31,8
40255,31,6,2015-08-01 00:00:00,1,0,0,0,4,3,9800.0,0,2012-07-01,1900-01-01,42215,1126,5356.0,0,31,8
40256,32,6,2015-08-01 00:00:00,1,0,0,0,1,1,2910.0,1,2012-09-01,2009-11-06,0,1064,2769.0,0,31,8
40257,33,6,2015-08-01 00:00:00,1,0,0,0,1,3,1320.0,0,2013-05-01,1900-01-01,42215,822,7944.0,0,31,8
40258,35,6,2015-08-01 00:00:00,1,0,0,0,4,3,7660.0,1,2000-10-01,2012-01-02,31,5417,7431.0,1,31,8
40259,36,6,2015-08-01 00:00:00,1,0,0,0,1,3,540.0,1,2003-06-01,2014-10-02,31,4444,9100.0,1,31,8
40260,38,6,2015-08-01 00:00:00,1,0,0,0,4,1,1090.0,0,2007-04-01,1900-01-01,42215,3044,5767.0,0,31,8
40261,39,6,2015-08-01 00:00:00,1,0,0,0,1,1,260.0,1,2006-10-01,2013-07-31,0,3226,3421.0,0,31,8
40262,40,6,2015-08-01 00:00:00,1,0,0,0,1,1,180.0,1,2012-09-01,2009-11-06,0,1064,5325.0,0,31,8
40263,41,6,2015-08-01 00:00:00,1,0,0,0,4,3,1180.0,1,2012-09-01,2013-07-31,31,1064,5259.0,1,31,8
40264,42,6,2015-08-01 00:00:00,1,0,0,0,1,3,290.0,1,2012-09-01,2011-10-02,31,1064,7907.0,1,31,8
40265,43,6,2015-08-01 00:00:00,1,0,0,0,4,1,4880.0,1,2012-09-01,2009-09-11,31,1064,4787.0,1,31,8
40266,45,6,2015-08-01 00:00:00,1,0,0,0,4,1,9710.0,0,2014-02-01,1900-01-01,42215,546,5332.0,0,31,8
40267,46,6,2015-08-01 00:00:00,1,0,0,0,3,1,1200.0,1,2005-09-01,2011-04-03,31,3621,4593.0,1,31,8
40268,47,6,2015-08-01 00:00:00,1,0,0,0,1,3,270.0,1,2013-04-01,2013-04-03,31,852,5392.0,1,31,8
40269,48,6,2015-08-01 00:00:00,1,0,0,0,1,1,1060.0,0,2012-05-01,1900-01-01,42215,1187,2690.0,0,31,8
40270,49,6,2015-08-01 00:00:00,1,0,0,0,4,3,18010.0,0,2007-09-01,1900-01-01,42215,2891,6950.0,0,31,8
40271,50,6,2015-08-01 00:00:00,1,0,0,0,4,1,6260.0,0,2009-11-01,1900-01-01,42215,2099,3991.0,0,31,8
40272,51,6,2015-08-01 00:00:00,1,0,0,0,1,3,10570.0,1,2013-07-01,2011-02-27,31,761,6782.0,1,31,8
40273,52,6,2015-08-01 00:00:00,1,0,0,0,4,3,450.0,1,2014-04-01,2010-09-25,31,487,6824.0,1,31,8
40274,53,6,2015-08-01 00:00:00,1,0,0,0,1,3,30360.0,0,2013-09-01,1900-01-01,42215,699,3606.0,0,31,8
40275,56,6,2015-08-01 00:00:00,1,0,0,1,4,3,6620.0,1,2012-03-01,2014-03-06,61,1248,6870.0,1,31,8
40276,58,6,2015-08-01 00:00:00,1,0,0,0,1,3,7340.0,1,2008-05-01,2012-07-02,31,2648,5738.0,1,31,8
40277,61,6,2015-08-01 00:00:00,1,0,0,0,1,3,350.0,1,2007-12-01,2012-01-02,31,2800,4443.0,1,31,8
40278,62,6,2015-08-01 00:00:00,1,0,0,0,1,1,2050.0,0,2012-09-01,1900-01-01,42215,1064,3615.0,0,31,8
40279,63,6,2015-08-01 00:00:00,1,0,0,0,3,3,3700.0,1,2010-06-01,2010-05-01,0,1887,5967.0,0,31,8
40280,64,6,2015-08-01 00:00:00,1,0,0,0,4,3,22560.0,1,2012-09-01,2013-04-03,31,1064,9378.0,1,31,8
40281,66,6,2015-08-01 00:00:00,1,0,0,0,4,1,7660.0,1,2012-09-01,2009-09-11,31,1064,5804.0,1,31,8
40282,67,6,2015-08-01 00:00:00,1,0,0,0,1,3,410.0,0,2006-02-01,1900-01-01,42215,3468,5214.0,0,31,8
40283,68,6,2015-08-01 00:00:00,1,0,0,0,1,3,250.0,1,2012-09-01,2012-08-27,61,1064,7938.0,1,31,8
40284,69,6,2015-08-01 00:00:00,1,0,0,1,3,3,1130.0,1,2012-09-01,2011-10-02,31,1064,7529.0,1,31,8
40285,70,6,2015-08-01 00:00:00,1,0,0,1,3,3,4840.0,0,2012-09-01,1900-01-01,42215,1064,5382.0,0,31,8
40286,71,6,2015-08-01 00:00:00,1,0,0,0,1,1,17500.0,1,2008-08-01,2009-09-11,61,2556,6383.0,1,31,8
40287,72,6,2015-08-01 00:00:00,1,0,0,0,1,1,2200.0,1,2009-12-01,2010-03-27,31,2069,2607.0,1,31,8
40288,73,6,2015-08-01 00:00:00,1,0,0,0,1,3,1650.0,0,2008-09-01,1900-01-01,42215,2525,2591.0,0,31,8
40289,74,6,2015-08-01 00:00:00,1,0,0,0,1,1,330.0,0,2012-09-01,1900-01-01,42215,1064,4795.0,0,31,8
40290,75,6,2015-08-01 00:00:00,1,0,0,0,4,3,22440.0,0,2013-12-01,1900-01-01,42215,608,6059.0,0,31,8
40291,76,6,2015-08-01 00:00:00,1,0,0,0,4,3,19960.0,0,2006-03-01,1900-01-01,42215,3440,7743.0,0,31,8
40292,77,6,2015-08-01 00:00:00,1,0,0,1,4,3,1090.0,1,2009-08-01,2014-03-06,31,2191,6736.0,1,31,8
40293,79,6,2015-08-01 00:00:00,1,0,0,0,1,1,3320.0,0,2012-09-01,1900-01-01,42215,1064,3969.0,0,31,8
40294,80,6,2015-08-01 00:00:00,1,0,0,0,4,1,7910.0,0,2012-09-01,1900-01-01,42215,1064,7563.0,0,31,8
40295,81,6,2015-08-01 00:00:00,1,0,0,0,1,1,2370.0,1,2011-03-01,2014-10-02,31,1614,7040.0,1,31,8
40296,82,6,2015-08-01 00:00:00,1,0,0,0,1,1,22390.0,1,2008-04-01,2009-09-11,31,2678,5262.0,1,31,8
40297,83,6,2015-08-01 00:00:00,1,0,0,0,1,1,2710.0,0,2012-09-01,1900-01-01,42215,1064,3014.0,0,31,8
40298,84,6,2015-08-01 00:00:00,1,0,0,0,1,3,11810.0,0,2014-08-01,1900-01-01,42215,365,10179.0,0,31,8
40299,86,6,2015-08-01 00:00:00,1,0,0,0,1,1,480.0,1,2005-02-01,2013-07-31,31,3833,3574.0,1,31,8
40300,89,6,2015-08-01 00:00:00,1,0,0,0,1,1,2380.0,1,2004-07-01,2014-10-02,31,4048,5054.0,1,31,8
40301,90,6,2015-08-01 00:00:00,1,0,0,0,1,1,330.0,0,2007-11-01,1900-01-01,42215,2830,7133.0,0,31,8
40302,91,6,2015-08-01 00:00:00,1,0,0,0,3,1,2410.0,1,2012-09-01,2011-08-28,31,1064,4639.0,1,31,8
40303,92,6,2015-08-01 00:00:00,1,0,0,0,3,1,240.0,1,2012-09-01,2009-11-06,0,1064,5556.0,0,31,8
40304,93,6,2015-08-01 00:00:00,1,0,0,0,1,1,16690.0,1,2012-09-01,2011-04-03,31,1064,3025.0,1,31,8
40305,94,6,2015-08-01 00:00:00,1,0,0,0,4,3,14620.0,0,2012-09-01,1900-01-01,42215,1064,5460.0,0,31,8
40306,98,6,2015-08-01 00:00:00,1,0,0,0,4,3,15140.0,1,2006-12-01,2012-01-02,31,3165,4638.0,1,31,8
40307,99,6,2015-08-01 00:00:00,1,0,0,0,3,3,2030.0,1,2003-11-01,2012-05-28,61,4291,4799.0,1,31,8
40308,100,6,2015-08-01 00:00:00,1,0,0,0,4,1,17930.0,0,2012-09-01,1900-01-01,42215,1064,7896.0,0,31,8
40309,101,6,2015-08-01 00:00:00,1,0,0,0,4,3,2440.0,1,2012-09-01,2012-05-28,61,1064,6716.0,1,31,8
40310,102,6,2015-08-01 00:00:00,1,0,0,0,1,1,150.0,1,2007-12-01,2014-03-06,61,2800,5561.0,1,31,8
40311,105,6,2015-08-01 00:00:00,1,0,0,0,1,3,6190.0,1,2012-09-01,2013-06-05,61,1064,3029.0,1,31,8
40312,107,6,2015-08-01 00:00:00,1,0,0,1,1,1,1930.0,0,2009-09-01,1900-01-01,42215,2160,6704.0,0,31,8
40313,108,6,2015-08-01 00:00:00,1,0,0,0,4,3,2190.0,0,2003-09-01,1900-01-01,42215,4352,9966.0,0,31,8
40314,109,6,2015-08-01 00:00:00,1,0,0,0,1,3,3300.0,0,2010-11-01,1900-01-01,42215,1734,4992.0,0,31,8
40315,110,6,2015-08-01 00:00:00,1,0,0,0,1,3,46590.0,0,2013-04-01,1900-01-01,42215,852,3245.0,0,31,8
40316,111,6,2015-08-01 00:00:00,1,0,0,1,4,3,7890.0,1,2012-09-01,2009-09-11,31,1064,6225.0,1,31,8
40317,112,6,2015-08-01 00:00:00,1,0,0,1,1,1,1630.0,0,2009-09-01,1900-01-01,42215,2160,5833.0,0,31,8
40318,113,6,2015-08-01 00:00:00,1,0,0,0,4,3,20930.0,0,1999-11-01,1900-01-01,42215,5752,7410.0,0,31,8
40319,115,6,2015-08-01 00:00:00,1,0,0,0,4,3,5740.0,1,2007-04-01,2014-10-02,31,3044,7535.0,1,31,8
40320,117,6,2015-08-01 00:00:00,1,0,0,0,1,1,3450.0,0,2011-09-01,1900-01-01,42215,1430,2317.0,0,31,8
40321,118,6,2015-08-01 00:00:00,1,0,0,0,4,3,3580.0,0,2012-09-01,1900-01-01,42215,1064,7012.0,0,31,8
40322,119,6,2015-08-01 00:00:00,1,0,0,0,1,3,2100.0,0,2010-02-01,1900-01-01,42215,2007,4600.0,0,31,8
40323,120,6,2015-08-01 00:00:00,1,0,0,1,4,1,2290.0,1,2014-12-01,2009-09-11,31,243,5622.0,1,31,8
40324,122,6,2015-08-01 00:00:00,1,0,0,0,1,3,58260.0,0,2013-04-01,1900-01-01,42215,852,7253.0,0,31,8
40325,124,6,2015-08-01 00:00:00,1,0,0,0,1,1,1410.0,0,2003-04-01,1900-01-01,42215,4505,2808.0,0,31,8
40326,126,6,2015-08-01 00:00:00,1,0,0,0,4,1,3370.0,1,2014-10-01,2011-05-01,0,304,5400.0,0,31,8
40327,127,6,2015-08-01 00:00:00,1,0,0,0,4,1,1350.0,1,2005-12-01,2010-03-27,31,3530,4826.0,1,31,8
40328,128,6,2015-08-01 00:00:00,1,0,0,1,4,3,2000.0,1,2012-09-01,2013-01-02,31,1064,6326.0,1,31,8
40329,129,6,2015-08-01 00:00:00,1,0,0,0,1,1,2460.0,1,2012-09-01,2011-04-03,31,1064,7073.0,1,31,8
40330,130,6,2015-08-01 00:00:00,1,0,0,1,3,1,900.0,1,2012-09-01,2010-03-27,31,1064,4090.0,1,31,8
40331,131,6,2015-08-01 00:00:00,1,0,0,0,3,1,920.0,0,2015-07-01,1900-01-01,42215,31,4702.0,0,31,8
40332,132,6,2015-08-01 00:00:00,1,0,0,0,4,3,1040.0,1,2012-09-01,2012-07-02,31,1064,5944.0,1,31,8
40333,135,6,2015-08-01 00:00:00,1,0,0,1,4,1,5190.0,1,2012-09-01,2013-01-02,31,1064,5849.0,1,31,8
40334,136,6,2015-08-01 00:00:00,1,0,0,0,1,3,2200.0,1,2010-12-01,2012-05-28,0,1704,4981.0,0,31,8
40335,137,6,2015-08-01 00:00:00,1,0,0,0,1,1,1730.0,1,2015-07-01,2014-10-02,31,31,5926.0,1,31,8
40336,139,6,2015-08-01 00:00:00,1,0,0,0,1,1,1700.0,1,2008-01-01,2011-04-03,31,2769,4718.0,1,31,8
40337,140,6,2015-08-01 00:00:00,1,0,0,1,1,3,1090.0,1,2010-07-01,2013-01-02,31,1857,5851.0,1,31,8
40338,141,6,2015-08-01 00:00:00,1,0,0,0,3,3,1540.0,1,2012-09-01,2012-05-28,61,1064,4314.0,1,31,8
40339,142,6,2015-08-01 00:00:00,1,0,0,0,1,1,1090.0,0,2002-07-01,1900-01-01,42215,4779,3137.0,0,31,8
40340,143,6,2015-08-01 00:00:00,1,0,0,0,4,1,2930.0,0,2002-12-01,1900-01-01,42215,4626,5144.0,0,31,8
40341,144,6,2015-08-01 00:00:00,1,0,0,0,1,3,16570.0,0,2012-09-01,1900-01-01,42215,1064,6034.0,0,31,8
40342,145,6,2015-08-01 00:00:00,1,0,0,0,1,1,280.0,1,2012-09-01,2009-11-06,0,1064,5957.0,0,31,8
40343,146,6,2015-08-01 00:00:00,1,0,0,0,4,3,8050.0,1,1961-10-01,2012-11-26,31,19662,6469.0,1,31,8
40344,147,6,2015-08-01 00:00:00,1,0,0,0,4,3,8540.0,0,2012-09-01,1900-01-01,42215,1064,7414.0,0,31,8
40345,149,6,2015-08-01 00:00:00,1,0,0,0,4,1,2610.0,1,2006-07-01,2011-04-03,31,3318,4450.0,1,31,8
40346,150,6,2015-08-01 00:00:00,1,0,0,0,3,3,31830.0,0,2010-03-01,1900-01-01,42215,1979,7541.0,0,31,8
40347,152,6,2015-08-01 00:00:00,1,0,0,0,1,1,1780.0,0,2012-09-01,1900-01-01,42215,1064,3426.0,0,31,8
40348,153,6,2015-08-01 00:00:00,1,0,0,0,1,1,16240.0,1,2000-10-01,2011-05-01,0,5417,4008.0,0,31,8
40349,154,6,2015-08-01 00:00:00,1,0,0,1,4,3,16420.0,0,2012-09-01,1900-01-01,42215,1064,7235.0,0,31,8
40350,155,6,2015-08-01 00:00:00,1,0,0,0,4,1,3050.0,1,2012-09-01,2010-08-28,31,1064,6420.0,1,31,8
40351,157,6,2015-08-01 00:00:00,1,0,0,0,1,3,2950.0,0,2004-10-01,1900-01-01,42215,3956,6831.0,0,31,8
40352,158,6,2015-08-01 00:00:00,1,0,0,0,4,3,11840.0,1,2012-09-01,2009-07-31,0,1064,7051.0,0,31,8
40353,159,6,2015-08-01 00:00:00,1,0,0,0,4,1,8530.0,0,2013-03-01,1900-01-01,42215,883,6662.0,0,31,8
40354,160,6,2015-08-01 00:00:00,1,0,0,1,4,3,17110.0,0,2005-11-01,1900-01-01,42215,3560,5030.0,0,31,8
40355,161,6,2015-08-01 00:00:00,1,0,0,0,1,3,2970.0,0,2005-03-01,1900-01-01,42215,3805,6491.0,0,31,8
40356,162,6,2015-08-01 00:00:00,1,0,0,1,4,3,5340.0,1,2012-03-01,2010-03-27,31,1248,6966.0,1,31,8
40357,164,6,2015-08-01 00:00:00,1,0,0,0,1,1,1160.0,1,2005-09-01,2010-03-27,31,3621,4009.0,1,31,8
40358,165,6,2015-08-01 00:00:00,1,0,0,0,1,1,3720.0,1,2005-04-01,2010-03-27,31,3774,2901.0,1,31,8
40359,166,6,2015-08-01 00:00:00,1,0,0,0,1,3,100.0,1,2014-04-01,2013-07-31,31,487,5356.0,1,31,8
40360,168,6,2015-08-01 00:00:00,1,0,0,0,1,1,12540.0,0,2012-09-01,1900-01-01,42215,1064,4455.0,0,31,8
40361,169,6,2015-08-01 00:00:00,1,0,0,0,4,1,980.0,1,2014-07-01,2014-05-01,0,396,6390.0,0,31,8
40362,170,6,2015-08-01 00:00:00,1,0,0,0,1,1,1070.0,1,2015-05-01,2011-04-03,31,92,4077.0,1,31,8
40363,171,6,2015-08-01 00:00:00,1,0,0,0,1,1,2640.0,0,2012-09-01,1900-01-01,42215,1064,5387.0,0,31,8
40364,172,6,2015-08-01 00:00:00,1,0,0,0,1,1,110.0,1,2012-09-01,2014-10-02,31,1064,6422.0,1,31,8
40365,174,6,2015-08-01 00:00:00,1,0,0,0,1,1,13090.0,1,2012-09-01,2012-05-28,31,1064,5421.0,1,31,8
40366,175,6,2015-08-01 00:00:00,1,0,0,0,3,1,4130.0,0,2012-09-01,1900-01-01,42215,1064,5339.0,0,31,8
40367,176,6,2015-08-01 00:00:00,1,0,0,0,1,1,3770.0,0,2012-09-01,1900-01-01,42215,1064,2932.0,0,31,8
40368,179,6,2015-08-01 00:00:00,1,0,0,0,1,3,480.0,0,2012-09-01,1900-01-01,42215,1064,6037.0,0,31,8
40369,180,6,2015-08-01 00:00:00,1,0,0,0,4,1,5800.0,0,2010-09-01,1900-01-01,42215,1795,6592.0,0,31,8
40370,181,6,2015-08-01 00:00:00,1,0,0,0,1,1,12610.0,1,2013-03-01,2011-04-03,31,883,3865.0,1,31,8
40371,182,6,2015-08-01 00:00:00,1,0,0,1,4,3,1390.0,1,2012-09-01,2011-02-27,61,1064,5008.0,1,31,8
40372,183,6,2015-08-01 00:00:00,1,0,0,0,1,1,9670.0,0,2012-09-01,1900-01-01,42215,1064,3491.0,0,31,8
40373,184,6,2015-08-01 00:00:00,1,0,0,0,4,3,3560.0,0,2012-09-01,1900-01-01,42215,1064,5282.0,0,31,8
40374,186,6,2015-08-01 00:00:00,1,0,0,0,1,1,290.0,1,2011-10-01,2014-10-02,31,1400,3107.0,1,31,8
40375,187,6,2015-08-01 00:00:00,1,0,0,0,1,3,19360.0,0,2012-09-01,1900-01-01,42215,1064,4213.0,0,31,8
40376,188,6,2015-08-01 00:00:00,1,0,0,0,4,1,850.0,1,2012-09-01,2011-05-01,0,1064,4920.0,0,31,8
40377,189,6,2015-08-01 00:00:00,1,0,0,0,4,1,5760.0,0,2014-07-01,1900-01-01,42215,396,7160.0,0,31,8
40378,190,6,2015-08-01 00:00:00,1,0,0,0,1,1,1470.0,1,2006-12-01,2014-10-02,31,3165,5758.0,1,31,8
40379,191,6,2015-08-01 00:00:00,1,0,0,0,1,1,1100.0,1,2013-08-01,2014-10-02,31,730,6454.0,1,31,8
40380,192,6,2015-08-01 00:00:00,1,0,0,0,4,3,2770.0,1,2008-03-01,2014-10-02,31,2709,8458.0,1,31,8
40381,193,6,2015-08-01 00:00:00,1,0,0,0,1,1,520.0,0,2012-09-01,1900-01-01,42215,1064,4157.0,0,31,8
40382,194,6,2015-08-01 00:00:00,1,0,0,0,4,3,16970.0,1,2012-09-01,2013-01-30,0,1064,5006.0,0,31,8
40383,195,6,2015-08-01 00:00:00,1,0,0,0,1,3,220.0,0,2012-09-01,1900-01-01,42215,1064,9983.0,0,31,8
40384,197,6,2015-08-01 00:00:00,1,0,0,0,3,1,4210.0,0,2015-03-01,1900-01-01,42215,153,5179.0,0,31,8
40385,199,6,2015-08-01 00:00:00,1,0,0,0,4,3,6360.0,1,2010-12-01,2012-04-02,61,1704,7067.0,1,31,8
40386,200,6,2015-08-01 00:00:00,1,0,0,0,1,1,1650.0,0,2000-10-01,1900-01-01,42215,5417,5918.0,0,31,8
40387,201,6,2015-08-01 00:00:00,1,0,0,0,4,1,20260.0,1,2012-09-01,2014-05-01,61,1064,5214.0,1,31,8
40388,202,6,2015-08-01 00:00:00,1,0,0,1,4,3,5140.0,0,2010-05-01,1900-01-01,42215,1918,5716.0,0,31,8
40389,204,6,2015-08-01 00:00:00,1,0,0,0,1,1,5630.0,1,2002-12-01,2014-10-02,31,4626,4248.0,1,31,8
40390,206,6,2015-08-01 00:00:00,1,0,0,0,1,3,380.0,1,2012-09-01,2012-04-02,31,1064,4455.0,1,31,8
40391,207,6,2015-08-01 00:00:00,1,0,0,0,1,1,6870.0,0,2012-09-01,1900-01-01,42215,1064,7329.0,0,31,8
40392,209,6,2015-08-01 00:00:00,1,0,0,0,1,3,11680.0,1,2011-09-01,2013-07-31,31,1430,5098.0,1,31,8
40393,210,6,2015-08-01 00:00:00,1,0,0,0,4,1,970.0,1,1999-11-01,2013-01-30,0,5752,3933.0,0,31,8
40394,212,6,2015-08-01 00:00:00,1,0,0,0,1,3,15050.0,0,2008-09-01,1900-01-01,42215,2525,3511.0,0,31,8
40395,213,6,2015-08-01 00:00:00,1,0,0,0,4,3,4030.0,1,2014-03-01,2014-01-02,31,518,7068.0,1,31,8
40396,214,6,2015-08-01 00:00:00,1,0,0,0,4,1,8650.0,1,2013-07-01,2014-03-06,31,761,9031.0,1,31,8
40397,215,6,2015-08-01 00:00:00,1,0,0,0,4,1,150.0,1,2012-09-01,2009-11-06,0,1064,5916.0,0,31,8
40398,216,6,2015-08-01 00:00:00,1,0,0,0,3,1,190.0,1,2012-09-01,2009-11-06,0,1064,6203.0,0,31,8
40399,217,6,2015-08-01 00:00:00,1,0,0,0,3,1,3150.0,0,2012-09-01,1900-01-01,42215,1064,4011.0,0,31,8
40400,218,6,2015-08-01 00:00:00,1,0,0,0,1,3,640.0,1,2012-09-01,2011-02-27,61,1064,2913.0,1,31,8
40401,219,6,2015-08-01 00:00:00,1,0,0,0,1,1,1640.0,0,2013-02-01,1900-01-01,42215,911,2321.0,0,31,8
40402,220,6,2015-08-01 00:00:00,1,0,0,0,1,1,1000.0,0,2008-09-01,1900-01-01,42215,2525,3633.0,0,31,8
40403,221,6,2015-08-01 00:00:00,1,0,0,0,4,3,13530.0,0,2013-09-01,1900-01-01,42215,699,5219.0,0,31,8
40404,224,6,2015-08-01 00:00:00,1,0,0,0,4,3,7930.0,1,2012-09-01,2013-01-02,31,1064,6060.0,1,31,8
40405,226,6,2015-08-01 00:00:00,1,0,0,1,1,1,450.0,0,2012-09-01,1900-01-01,42215,1064,5162.0,0,31,8
40406,227,6,2015-08-01 00:00:00,1,0,0,0,1,1,2370.0,0,2012-09-01,1900-01-01,42215,1064,4186.0,0,31,8
40407,228,6,2015-08-01 00:00:00,1,0,0,0,4,3,10800.0,1,2012-09-01,2011-05-01,0,1064,6457.0,0,31,8
40408,229,6,2015-08-01 00:00:00,1,0,0,0,4,3,17410.0,1,2007-04-01,2011-04-03,31,3044,7149.0,1,31,8
40409,230,6,2015-08-01 00:00:00,1,0,0,0,4,3,6680.0,0,2013-09-01,1900-01-01,42215,699,6622.0,0,31,8
40410,231,6,2015-08-01 00:00:00,1,0,0,0,4,3,3840.0,1,2008-10-01,2010-09-25,0,2495,5411.0,0,31,8
40411,233,6,2015-08-01 00:00:00,1,0,0,1,1,1,1890.0,0,2012-09-01,1900-01-01,42215,1064,7035.0,0,31,8
40412,234,6,2015-08-01 00:00:00,1,0,0,0,4,1,4370.0,0,2012-09-01,1900-01-01,42215,1064,8800.0,0,31,8
40413,235,6,2015-08-01 00:00:00,1,0,0,1,1,1,5710.0,1,2012-03-01,2009-09-11,31,1248,3957.0,1,31,8
40414,238,6,2015-08-01 00:00:00,1,0,0,0,1,1,320.0,1,2012-09-01,2009-11-06,0,1064,5929.0,0,31,8
40415,239,6,2015-08-01 00:00:00,1,0,0,0,4,3,610.0,0,2012-09-01,1900-01-01,42215,1064,4792.0,0,31,8
40416,241,6,2015-08-01 00:00:00,1,0,0,0,4,3,780.0,0,2012-09-01,1900-01-01,42215,1064,6008.0,0,31,8
40417,242,6,2015-08-01 00:00:00,1,0,0,1,4,1,6880.0,1,2001-09-01,2011-04-03,31,5082,3218.0,1,31,8
40418,243,6,2015-08-01 00:00:00,1,0,0,0,1,1,310.0,1,2012-09-01,2013-01-30,0,1064,5422.0,0,31,8
40419,244,6,2015-08-01 00:00:00,1,0,0,0,4,1,710.0,1,2012-03-01,2012-01-02,31,1248,4481.0,1,31,8
40420,245,6,2015-08-01 00:00:00,1,0,0,1,1,3,1310.0,0,2012-09-01,1900-01-01,42215,1064,8152.0,0,31,8
40421,246,6,2015-08-01 00:00:00,1,0,0,0,3,1,4660.0,0,2013-04-01,1900-01-01,42215,852,5653.0,0,31,8
40422,247,6,2015-08-01 00:00:00,1,0,0,1,4,3,70.0,1,2010-11-01,2013-01-30,0,1734,7188.0,0,31,8
40423,248,6,2015-08-01 00:00:00,1,0,0,0,1,3,340.0,1,2012-09-01,2012-10-01,31,1064,7296.0,1,31,8
40424,249,6,2015-08-01 00:00:00,1,0,0,0,4,3,18010.0,0,2014-09-01,1900-01-01,42215,334,4567.0,0,31,8
40425,250,6,2015-08-01 00:00:00,1,0,0,1,4,1,3520.0,1,2012-09-01,2012-04-30,0,1064,7342.0,0,31,8
40426,251,6,2015-08-01 00:00:00,1,0,0,0,1,3,340.0,0,2012-09-01,1900-01-01,42215,1064,16513.0,0,31,8
40427,252,6,2015-08-01 00:00:00,1,0,0,0,4,3,22330.0,1,2012-09-01,2010-01-30,0,1064,7557.0,0,31,8
40428,253,6,2015-08-01 00:00:00,1,0,0,0,1,3,250.0,1,2012-09-01,2013-01-30,0,1064,8238.0,0,31,8
40429,254,6,2015-08-01 00:00:00,1,0,0,0,4,1,330.0,1,2008-03-01,2012-01-02,61,2709,3142.0,1,31,8
40430,255,6,2015-08-01 00:00:00,1,0,0,0,3,3,4630.0,1,2011-03-01,2011-08-28,0,1614,6160.0,0,31,8
40431,256,6,2015-08-01 00:00:00,1,0,0,0,1,3,80.0,1,2005-09-01,2014-03-06,61,3621,8651.0,1,31,8
